index,danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_name,release_date,song_name,song_name_formatted
13,0.688,0.932,5,0.0979,0.254,0.0,0.85,0.657,134.987,206787,4,EXO,2020-04-21,What A Life - Live,what-a-life-live
14,0.6,0.928,10,0.136,0.187,0.0,0.466,0.431,93.033,128800,4,EXO,2020-04-21,Closer To You - Live,closer-to-you-live
15,0.666,0.889,6,0.0563,0.413,4.6e-06,0.838,0.71,99.502,207373,4,EXO,2020-04-21,Falling For You - Live,falling-for-you-live
16,0.304,0.318,4,0.0395,0.849,0.0,0.581,0.339,74.941,252467,4,EXO,2020-04-21,Wait - Live,wait-live
17,0.533,0.963,0,0.16,0.0119,0.0,0.319,0.342,128.056,332827,4,EXO,2020-04-21,Power - Live,power-live
18,0.61,0.905,2,0.0591,0.0453,0.0,0.704,0.205,128.964,236200,4,EXO,2020-04-21,Confession - Live,confession-live
19,0.552,0.846,6,0.104,0.326,0.0,0.543,0.597,129.924,237120,4,EXO,2020-04-21,Bad Dream - Live,bad-dream-live
20,0.518,0.901,11,0.183,0.101,0.0,0.321,0.293,160.002,258160,4,EXO,2020-04-21,Damage - Live,damage-live
21,0.566,0.941,11,0.0887,0.245,0.0,0.916,0.737,89.954,125053,4,EXO,2020-04-21,Growl - Live,growl-live
22,0.557,0.974,5,0.163,0.134,0.0,0.951,0.45,81.957,147507,4,EXO,2020-04-21,Overdose - Live,overdose-live
23,0.602,0.952,8,0.115,0.112,0.0,0.549,0.591,99.842,227107,4,EXO,2020-04-21,Call Me Baby - Live,call-me-baby-live
24,0.59,0.92,5,0.0565,0.521,0.0,0.785,0.546,98.033,179960,4,EXO,2020-04-21,Unfair - Live,unfair-live
25,0.519,0.857,3,0.0655,0.553,0.0,0.705,0.45,84.952,213013,4,EXO,2020-04-21,On The Snow - Live,on-the-snow-live
26,0.679,0.799,9,0.0609,0.476,1.9e-06,0.518,0.628,135.07,220173,4,EXO,2020-04-21,Smile On My Face - Live,smile-on-my-face-live
27,0.704,0.729,7,0.0624,0.0024,0.0,0.218,0.71,129.992,203520,4,EXO,2019-11-27,Obsession,obsession
28,0.572,0.8,7,0.137,0.321,0.0,0.511,0.767,76.022,197227,4,EXO,2019-11-27,Trouble,trouble
29,0.721,0.57,11,0.0567,0.438,0.0,0.0975,0.472,99.988,221267,4,EXO,2019-11-27,Jekyll,jekyll
30,0.628,0.801,0,0.0416,0.287,1.22e-06,0.0903,0.44,98.022,208613,4,EXO,2019-11-27,Groove,groove
31,0.369,0.772,1,0.3,0.0573,0.0,0.325,0.491,205.177,222040,4,EXO,2019-11-27,Ya Ya Ya,ya-ya-ya
32,0.768,0.778,11,0.0728,0.118,0.0,0.202,0.784,107.935,178920,4,EXO,2019-11-27,Baby You Are,baby-you-are
33,0.729,0.887,7,0.0631,0.303,0.0,0.232,0.602,116.006,204240,4,EXO,2019-11-27,Non Stop,non-stop
34,0.397,0.675,1,0.112,0.277,0.0,0.0874,0.452,102.941,222333,3,EXO,2019-11-27,Day After Day,day-after-day
35,0.684,0.842,4,0.0778,0.232,0.0,0.0721,0.669,104.003,190360,4,EXO,2019-11-27,Butterfly Effect,butterfly-effect
36,0.688,0.739,7,0.0559,0.00423,0.0,0.178,0.734,130.039,203519,4,EXO,2019-11-27,Obsession - Chinese Version,obsession-chinese-version
37,0.562,0.899,0,0.0483,0.0952,0.0,0.554,0.604,134.958,135023,4,EXO,2019-01-30,The Eve - Live,the-eve-live
38,0.563,0.879,5,0.0829,0.118,0.0,0.947,0.239,144.975,234312,4,EXO,2019-01-30,Forever - Live,forever-live
39,0.666,0.948,2,0.0558,0.0345,5.01e-05,0.76,0.418,145.935,202987,4,EXO,2019-01-30,Ko Ko Bop - Live,bop-live
40,0.594,0.869,7,0.0538,0.168,0.0,0.158,0.593,89.974,234691,4,EXO,2019-01-30,Growl - Live,growl-live
41,0.475,0.599,1,0.0412,0.103,0.0337,0.104,0.0377,130.814,203543,4,EXO,2019-01-30,I See You - Live,i-see-you-live
42,0.429,0.941,5,0.0842,0.0354,2.76e-06,0.816,0.641,102.077,299394,4,EXO,2019-01-30,Call Me Baby - Live,call-me-baby-live
43,0.582,0.967,8,0.126,0.206,0.0,0.389,0.576,110.121,217154,4,EXO,2019-01-30,Touch It - Live,touch-it-live
44,0.699,0.946,10,0.11,0.36,0.0,0.859,0.606,119.925,189480,4,EXO,2019-01-30,Chill - Live,chill-live
45,0.412,0.207,2,0.0368,0.916,1.84e-06,0.544,0.278,75.827,184839,3,EXO,2019-01-30,"For Life - English Version, Live",for-life-english-live
46,0.56,0.859,10,0.0609,0.367,1.5e-06,0.159,0.385,150.041,257120,4,EXO,2019-01-30,Going Crazy - Live,going-crazy-live
47,0.56,0.735,1,0.0466,0.0512,0.0,0.623,0.186,103.03,236947,4,EXO,2019-01-30,Sweet Lies - Live,sweet-lies-live
48,0.708,0.87,0,0.0662,0.263,0.0,0.602,0.624,109.901,177802,4,EXO,2019-01-30,Boomerang - Live,boomerang-live
49,0.739,0.912,4,0.09,0.197,0.0,0.888,0.619,100.002,201683,4,EXO,2019-01-30,Lotto - Live,lotto-live
50,0.641,0.958,10,0.103,0.0726,0.0,0.862,0.711,146.008,169285,4,EXO,2019-01-30,"Ka-CHING! - Korean Version, Live",korean-live
51,0.321,0.339,8,0.0429,0.796,5.91e-06,0.869,0.232,81.802,274560,4,EXO,2019-01-30,Sing For You - Live,sing-for-you-live
52,0.532,0.82,11,0.0593,0.0362,1.12e-05,0.499,0.549,160.041,143902,4,EXO,2019-01-30,Playboy - Live,playboy-live
53,0.308,0.754,1,0.137,0.227,0.0,0.37,0.426,97.808,148816,1,EXO,2019-01-30,Psycho - Live,psycho-live
54,0.651,0.923,5,0.141,0.222,0.0,0.163,0.53,91.934,223676,4,EXO,2019-01-30,Heaven - Live,heaven-live
55,0.423,0.876,3,0.156,0.01,0.0,0.305,0.552,110.6,220479,4,EXO,2019-01-30,What U do? - Live,what-u-live
56,0.6,0.894,1,0.0993,0.135,0.0,0.16,0.713,121.019,225163,4,EXO,2019-01-30,Lucky One - Live,lucky-one-live
57,0.675,0.96,0,0.0647,0.094,0.0,0.923,0.768,117.986,215020,4,EXO,2019-01-30,Tender Love - Live,tender-love-live
58,0.684,0.938,8,0.0597,0.11,0.0,0.295,0.736,131.034,185848,4,EXO,2019-01-30,3.6.5 - Live,live
59,0.637,0.555,10,0.0303,0.786,0.0,0.722,0.238,113.983,288987,4,EXO,2019-01-30,Walk On Memories - Live,walk-on-memories-live
60,0.697,0.799,6,0.0393,0.466,0.0,0.872,0.677,121.966,283704,4,EXO,2019-01-30,Moonlight - Live,moonlight-live
61,0.683,0.828,10,0.117,0.178,0.0,0.616,0.55,82.048,225086,4,EXO,2019-01-30,We Young - Live,we-young-live
62,0.605,0.987,10,0.205,0.216,0.0,0.878,0.439,101.519,240666,4,EXO,2019-01-30,Electric Kiss - Live,electric-kiss-live
63,0.65,0.991,2,0.113,0.0265,0.0,0.283,0.547,112.004,163570,4,EXO,2019-01-30,"Coming Over - Korean Version, Live",coming-over-korean-live
64,0.568,0.994,2,0.164,0.157,9.72e-06,0.751,0.267,104.999,122290,4,EXO,2019-01-30,"Run This - Korean Version, Live",run-this-korean-live
65,0.438,0.994,7,0.337,0.0758,0.0,0.868,0.107,105.072,170761,4,EXO,2019-01-30,"Drop That - Korean Version, Live",drop-that-korean-live
66,0.553,0.978,0,0.138,0.13,0.0,0.791,0.286,127.922,387166,4,EXO,2019-01-30,Power - Live,power-live
67,0.495,0.861,5,0.0575,0.0305,9.93e-05,0.676,0.598,160.012,176336,4,EXO,2019-01-30,Beyond - Live,beyond-live
68,0.411,0.877,2,0.0652,0.0333,0.0,0.333,0.247,127.688,103927,4,EXO,2019-01-30,"Years - Korean Version, Live",years-korean-live
69,0.576,0.949,2,0.114,0.134,0.0,0.836,0.528,127.982,196799,4,EXO,2019-01-30,Lucky - Live,lucky-live
70,0.593,0.944,8,0.122,0.307,0.0,0.732,0.342,129.974,287287,4,EXO,2019-01-30,Run - Live,run-live
71,0.403,0.435,3,0.0352,0.368,0.0,0.136,0.108,139.409,265480,4,EXO,2019-01-30,Universe - Live,universe-live
72,0.689,0.678,5,0.119,0.0702,0.0,0.0889,0.335,145.883,200306,4,EXO,2018-12-13,Love Shot,love-shot
73,0.686,0.842,0,0.1,0.237,0.0,0.0683,0.519,115.944,224483,4,EXO,2018-12-13,Tempo,tempo
74,0.801,0.756,11,0.0448,0.12,0.0,0.0836,0.622,110.988,222010,4,EXO,2018-12-13,Trauma,trauma
75,0.477,0.237,4,0.0438,0.829,0.0,0.107,0.362,74.207,248768,4,EXO,2018-12-13,Wait,wait
76,0.637,0.669,1,0.0732,0.0135,0.0,0.406,0.501,168.117,193853,4,EXO,2018-12-13,Sign,sign
77,0.65,0.648,8,0.0833,0.238,0.0,0.111,0.61,165.15,187446,4,EXO,2018-12-13,Ooh La La La,ooh-la-la-la
78,0.693,0.864,1,0.0807,0.0711,0.0,0.0961,0.695,117.961,234634,4,EXO,2018-12-13,Gravity,gravity
79,0.623,0.74,1,0.0403,0.223,0.0,0.431,0.383,134.9,188544,4,EXO,2018-12-13,With You,with-you
80,0.762,0.594,0,0.0481,0.1,0.0,0.123,0.337,98.025,243324,4,EXO,2018-12-13,24/7,
81,0.628,0.734,1,0.0994,0.206,0.0,0.145,0.535,129.956,236557,4,EXO,2018-12-13,Bad Dream,bad-dream
82,0.695,0.783,11,0.151,0.192,0.0,0.0339,0.551,79.972,209866,4,EXO,2018-12-13,Damage,damage
83,0.703,0.596,4,0.0412,0.4,0.0,0.0907,0.549,135.057,218533,4,EXO,2018-12-13,Smile On My Face,smile-on-my-face
84,0.629,0.761,0,0.0557,0.0886,0.0,0.0814,0.605,144.986,194326,4,EXO,2018-12-13,Oasis,oasis
85,0.7,0.666,5,0.138,0.0797,0.0,0.0977,0.394,145.906,200306,4,EXO,2018-12-13,Love Shot - Chinese Version,love-shot-chinese-version
86,0.703,0.831,0,0.0929,0.293,0.0,0.0705,0.574,115.96,224598,4,EXO,2018-12-13,Tempo - Chinese Version,tempo-chinese-version
87,0.686,0.842,0,0.1,0.237,0.0,0.0683,0.519,115.944,224483,4,EXO,2018-11-02,Tempo,tempo
88,0.637,0.669,1,0.0732,0.0135,0.0,0.406,0.501,168.117,193853,4,EXO,2018-11-02,Sign,sign
89,0.65,0.648,8,0.0833,0.238,0.0,0.111,0.61,165.15,187446,4,EXO,2018-11-02,Ooh La La La,ooh-la-la-la
90,0.693,0.864,1,0.0807,0.0711,0.0,0.0961,0.695,117.961,234634,4,EXO,2018-11-02,Gravity,gravity
91,0.623,0.74,1,0.0403,0.223,0.0,0.431,0.383,134.9,188544,4,EXO,2018-11-02,With You,with-you
92,0.762,0.594,0,0.0481,0.1,0.0,0.123,0.337,98.025,243324,4,EXO,2018-11-02,24/7,
93,0.628,0.734,1,0.0994,0.206,0.0,0.145,0.535,129.956,236557,4,EXO,2018-11-02,Bad Dream,bad-dream
94,0.695,0.783,11,0.151,0.192,0.0,0.0339,0.551,79.972,209866,4,EXO,2018-11-02,Damage,damage
95,0.703,0.596,4,0.0412,0.4,0.0,0.0907,0.549,135.057,218533,4,EXO,2018-11-02,Smile On My Face,smile-on-my-face
96,0.629,0.761,0,0.0557,0.0886,0.0,0.0814,0.605,144.986,194326,4,EXO,2018-11-02,Oasis,oasis
97,0.703,0.831,0,0.0929,0.293,0.0,0.0705,0.574,115.96,224598,4,EXO,2018-11-02,Tempo - Chinese Version,tempo-chinese-version
98,0.681,0.964,10,0.0892,0.00398,4.25e-05,0.721,0.687,101.538,207507,4,EXO,2018-01-31,Electric Kiss,electric-kiss
99,0.648,0.981,2,0.0769,0.000744,0.0337,0.103,0.8,111.977,202240,4,EXO,2018-01-31,Coming Over,coming-over
100,0.513,0.877,0,0.118,0.00682,0.0,0.2,0.774,109.343,206240,4,EXO,2018-01-31,Love Me Right 〜romantic universe〜,love-me-right
101,0.631,0.865,5,0.125,0.0803,0.0,0.497,0.571,140.034,185960,4,EXO,2018-01-31,LIGHTSABER,
102,0.653,0.934,9,0.115,0.0654,0.0,0.169,0.589,120.001,223533,4,EXO,2018-01-31,TACTIX,
103,0.682,0.914,10,0.0788,0.127,0.0,0.125,0.87,128.096,223800,4,EXO,2018-01-31,Into My World,into-my-world
104,0.664,0.911,4,0.0384,0.0701,0.0,0.232,0.5,102.041,224653,4,EXO,2018-01-31,Lovin' You Mo',you
105,0.643,0.965,11,0.183,0.0144,0.0,0.33,0.517,102.014,216040,4,EXO,2018-01-31,Drop That,drop-that
106,0.668,0.981,1,0.162,0.0797,0.0,0.0372,0.514,105.01,203347,4,EXO,2018-01-31,Run This,run-this
107,0.501,0.804,4,0.0616,0.0316,0.0,0.314,0.219,150.02,278573,4,EXO,2018-01-31,Cosmic Railway,cosmic-railway
108,0.301,0.94,10,0.139,0.0192,0.798,0.607,0.118,187.019,137895,3,EXO,2017-10-25,MAMA - Live,mama-live
109,0.501,0.855,10,0.0742,0.00872,0.0,0.817,0.413,149.967,231474,4,EXO,2017-10-25,Monster - Live,monster-live
110,0.517,0.916,6,0.0877,0.0323,2.13e-06,0.699,0.16,139.99,375755,4,EXO,2017-10-25,Wolf - Live,wolf-live
111,0.617,0.907,9,0.128,0.0397,0.0,0.516,0.502,104.957,230206,4,EXO,2017-10-25,White Noise - Live,white-noise-live
112,0.592,0.943,11,0.114,0.421,0.0,0.487,0.652,98.059,162562,4,EXO,2017-10-25,Thunder - Live,thunder-live
113,0.431,0.908,1,0.147,0.263,0.0,0.803,0.394,79.901,139360,4,EXO,2017-10-25,Playboy - Live,playboy-live
114,0.553,0.865,1,0.232,0.015,0.0,0.697,0.354,113.94,301452,4,EXO,2017-10-25,Artificial Love - Live,artificial-love-live
115,0.616,0.927,5,0.0471,0.274,0.0,0.364,0.676,98.006,212371,4,EXO,2017-10-25,Unfair - Live,unfair-live
116,0.575,0.35,9,0.102,0.486,2.78e-05,0.335,0.343,81.123,62882,3,EXO,2017-10-25,My Lady - Live,my-lady-live
117,0.713,0.282,11,0.035,0.846,0.0,0.126,0.675,121.979,105360,5,EXO,2017-10-25,Moonlight - Live,moonlight-live
118,0.344,0.334,5,0.0298,0.869,0.0,0.132,0.279,149.55,231600,4,EXO,2017-10-25,Sing For You - Live,sing-for-you-live
119,0.626,0.758,1,0.034,0.731,0.0,0.521,0.86,100.006,113960,4,EXO,2017-10-25,Call Me Baby - Live,call-me-baby-live
120,0.412,0.842,2,0.0833,0.403,0.0,0.582,0.44,153.955,215373,4,EXO,2017-10-25,Lady Luck - Live,lady-luck-live
121,0.614,0.956,0,0.121,0.203,0.0,0.893,0.457,118.02,214907,4,EXO,2017-10-25,Tender Love - Live,tender-love-live
122,0.68,0.881,7,0.0868,0.176,0.0,0.941,0.508,103.026,238680,4,EXO,2017-10-25,Cloud 9 - Live,cloud-9-live
123,0.527,0.925,0,0.0984,0.0106,0.0,0.565,0.616,109.901,243627,4,EXO,2017-10-25,Love Me Right - Live,love-me-right-live
124,0.592,0.934,5,0.111,0.183,0.0,0.229,0.47,91.951,223222,4,EXO,2017-10-25,Heaven - Live,heaven-live
125,0.311,0.893,0,0.323,0.0986,0.0,0.472,0.272,190.079,219043,4,EXO,2017-10-25,Girl x Friend - Live,girl-x-friend-live
126,0.661,0.923,8,0.0556,0.163,0.0,0.289,0.654,131.015,195800,4,EXO,2017-10-25,3.6.5 - Live,live
127,0.345,0.91,1,0.222,0.0268,0.0,0.764,0.327,164.125,273066,4,EXO,2017-10-25,Overdose - Live,overdose-live
128,0.655,0.952,10,0.167,0.0452,0.0,0.89,0.397,87.95,263771,4,EXO,2017-10-25,Transformer - Live,transformer-live
129,0.577,0.97,1,0.137,0.0463,0.0,0.457,0.358,139.957,245954,4,EXO,2017-10-25,Lightsaber - Live,live
130,0.764,0.941,1,0.33,0.11,0.0,0.838,0.401,128.042,159393,4,EXO,2017-10-25,Together - Live,together-live
131,0.687,0.965,7,0.228,0.156,0.0,0.895,0.354,82.515,114960,4,EXO,2017-10-25,Full Moon - Live,full-moon-live
132,0.537,0.969,4,0.274,0.0855,0.0,0.45,0.141,101.925,297998,4,EXO,2017-10-25,Drop That - Live,drop-that-live
133,0.619,0.958,1,0.072,0.00479,0.0607,0.339,0.121,122.001,192562,4,EXO,2017-10-25,EXO Keep On Dancing - Live,keep-on-dancing-live
134,0.564,0.933,7,0.104,0.0665,0.0,0.195,0.367,128.022,196527,4,EXO,2017-10-25,Lucky - Live,lucky-live
135,0.584,0.918,1,0.102,0.192,0.0,0.423,0.343,129.97,289534,4,EXO,2017-10-25,Run - Live,run-live
136,0.705,0.911,4,0.0351,0.0576,0.0,0.936,0.592,99.933,192157,4,EXO,2017-10-25,Lotto - Live,lotto-live
137,0.571,0.951,11,0.103,0.337,0.0,0.383,0.572,89.95,214604,4,EXO,2017-10-25,Growl - Live,growl-live
138,0.267,0.366,3,0.0311,0.861,0.0,0.168,0.234,183.907,237634,4,EXO,2017-10-25,For Life - Live,for-life-live
139,0.636,0.702,0,0.0334,0.0223,0.0,0.293,0.516,135.104,176026,4,EXO,2017-07-18,The Eve,the-eve
140,0.749,0.85,0,0.0468,0.0319,4.81e-05,0.0678,0.672,145.983,190423,4,EXO,2017-07-18,Ko Ko Bop,bop
141,0.526,0.828,6,0.143,0.00773,0.0,0.296,0.663,110.182,221349,4,EXO,2017-07-18,What U do?,what-u
142,0.609,0.825,8,0.0748,0.0588,0.0,0.35,0.333,144.868,230726,4,EXO,2017-07-18,Forever,forever
143,0.734,0.76,0,0.0852,0.0113,0.0,0.408,0.367,132.074,211196,4,EXO,2017-07-18,Diamond,diamond
144,0.703,0.917,5,0.115,0.159,0.0,0.0802,0.874,109.985,209896,4,EXO,2017-07-18,Touch It,touch-it
145,0.743,0.793,1,0.0692,0.23,0.0,0.108,0.809,120.004,187756,4,EXO,2017-07-18,Chill,chill
146,0.73,0.555,7,0.0299,0.346,0.0,0.0786,0.447,113.968,232234,4,EXO,2017-07-18,Walk On Memories,walk-on-memories
147,0.591,0.782,7,0.0389,0.128,0.0,0.114,0.709,150.09,226062,4,EXO,2017-07-18,Going Crazy,going-crazy
148,0.645,0.699,5,0.054,0.0235,0.0,0.169,0.351,135.053,176026,4,EXO,2017-07-18,The Eve - Chinese Version,the-eve-chinese-version
149,0.756,0.853,0,0.0579,0.0381,2.51e-05,0.0671,0.733,145.962,190423,4,EXO,2017-07-18,Ko Ko Bop - Chinese Version,bop-chinese-version
150,0.513,0.837,6,0.128,0.00734,0.0,0.243,0.607,110.001,221349,4,EXO,2017-07-18,What U do? - Chinese Version,what-u-chinese-version
151,0.607,0.835,5,0.0929,0.0604,0.0,0.346,0.373,144.633,230726,4,EXO,2017-07-18,Forever - Chinese Version,forever-chinese-version
152,0.761,0.747,0,0.0916,0.017,0.0,0.402,0.375,132.054,211196,4,EXO,2017-07-18,Diamond - Chinese Version,diamond-chinese-version
153,0.711,0.909,5,0.143,0.198,0.0,0.0824,0.881,110.035,209896,4,EXO,2017-07-18,Touch It - Chinese Version,touch-it-chinese-version
154,0.741,0.795,1,0.0832,0.234,0.0,0.138,0.773,119.871,187756,4,EXO,2017-07-18,Chill - Chinese Version,chill-chinese-version
155,0.712,0.537,7,0.0327,0.408,0.0,0.0786,0.465,114.019,232234,4,EXO,2017-07-18,Walk On Memories - Chinese Version,walk-on-memories-chinese-version
156,0.601,0.783,7,0.0392,0.123,0.0,0.11,0.759,149.955,226074,4,EXO,2017-07-18,Going Crazy - Chinese Version,going-crazy-chinese-version
157,0.798,0.867,11,0.0386,0.0618,0.0,0.193,0.702,99.996,189775,4,EXO,2016-08-18,Lotto,lotto
158,0.731,0.787,1,0.055,0.169,0.0,0.0892,0.799,120.951,227486,4,EXO,2016-08-18,Lucky One,lucky-one
159,0.618,0.76,6,0.0596,0.0066,0.0,0.127,0.541,150.0,221341,4,EXO,2016-08-18,Monster,monster
160,0.639,0.786,6,0.287,0.00936,0.0,0.0694,0.772,114.181,245773,4,EXO,2016-08-18,Artificial Love,artificial-love
161,0.597,0.938,10,0.108,0.191,0.0,0.257,0.743,87.003,180015,4,EXO,2016-08-18,Can’t Bring Me Down,bring-me-down
162,0.801,0.726,7,0.0751,0.15,0.0,0.325,0.534,103.017,241396,4,EXO,2016-08-18,Cloud 9,cloud-9
163,0.696,0.844,5,0.181,0.0348,0.0,0.0882,0.761,91.982,225823,4,EXO,2016-08-18,Heaven,heaven
164,0.59,0.639,11,0.0427,0.0816,0.0,0.0788,0.462,72.496,242367,4,EXO,2016-08-18,She’s Dreaming,dreaming
165,0.375,0.845,2,0.26,0.0792,0.0,0.166,0.75,209.456,212084,4,EXO,2016-08-18,White Noise,white-noise
166,0.531,0.708,8,0.0335,0.062,0.0,0.0925,0.451,77.016,229056,4,EXO,2016-08-18,One and Only,one-and-only
167,0.611,0.796,10,0.0758,0.174,0.0,0.314,0.485,129.896,213788,4,EXO,2016-08-18,They Never Know,they-never-know
168,0.469,0.315,8,0.0349,0.81,0.0,0.114,0.358,102.157,219977,4,EXO,2016-08-18,Stronger,stronger
169,0.651,0.922,5,0.0452,0.0214,0.0,0.357,0.635,127.988,245189,4,EXO,2016-08-18,Monster - LDN Noise Creeper Bass Remix,monster-noise-creeper-bass-remix
170,0.817,0.861,11,0.0457,0.0708,0.0,0.178,0.708,99.966,189775,4,EXO,2016-08-18,Lotto - Chinese Version,lotto-chinese-version
171,0.715,0.787,1,0.0858,0.16,0.0,0.0877,0.776,121.058,227486,4,EXO,2016-08-18,Lucky One - Chinese Version,lucky-one-chinese-version
172,0.616,0.778,10,0.0795,0.00868,0.0,0.116,0.466,149.965,221341,4,EXO,2016-08-18,Monster - Chinese Version,monster-chinese-version
173,0.659,0.791,6,0.285,0.00928,0.0,0.0759,0.767,114.051,245773,4,EXO,2016-08-18,Artificial Love - Chinese Version,artificial-love-chinese-version
174,0.601,0.929,10,0.119,0.208,0.0,0.25,0.751,86.993,180015,4,EXO,2016-08-18,Can't Bring Me Down - Chinese Version,bring-me-down-chinese-version
175,0.801,0.717,7,0.119,0.189,0.0,0.33,0.52,102.976,241396,4,EXO,2016-08-18,Cloud 9 - Chinese Version,cloud-9-chinese-version
176,0.66,0.863,5,0.233,0.0402,0.0,0.0825,0.763,91.947,225823,4,EXO,2016-08-18,Heaven - Chinese Version,heaven-chinese-version
177,0.58,0.646,6,0.0569,0.112,0.0,0.0869,0.514,145.06,242367,4,EXO,2016-08-18,She’s Dreaming - Chinese Version,dreaming-chinese-version
178,0.691,0.834,9,0.132,0.0836,0.0,0.179,0.784,104.794,212084,4,EXO,2016-08-18,White Noise - Chinese Version,white-noise-chinese-version
179,0.549,0.705,8,0.0373,0.113,0.0,0.105,0.43,76.991,229056,4,EXO,2016-08-18,One and Only - Chinese Version,one-and-only-chinese-version
180,0.484,0.811,10,0.121,0.137,0.0,0.315,0.38,130.55,213788,4,EXO,2016-08-18,They Never Know - Chinese Version,they-never-know-chinese-version
181,0.607,0.313,8,0.0318,0.776,0.0,0.113,0.426,140.015,219977,3,EXO,2016-08-18,Stronger - Chinese Version,stronger-chinese-version
182,0.659,0.919,5,0.0407,0.0194,0.0,0.396,0.665,127.986,245189,4,EXO,2016-08-18,"Monster - LDN Noise Creeper Bass Remix, Chinese Version",monster-noise-creeper-bass-chinese-version
183,0.731,0.787,1,0.055,0.169,0.0,0.0892,0.799,120.951,227486,4,EXO,2016-06-09,Lucky One,lucky-one
184,0.618,0.76,6,0.0596,0.0066,0.0,0.127,0.541,150.0,221341,4,EXO,2016-06-09,Monster,monster
185,0.639,0.786,6,0.287,0.00936,0.0,0.0694,0.772,114.181,245773,4,EXO,2016-06-09,Artificial Love,artificial-love
186,0.801,0.726,7,0.0751,0.15,0.0,0.325,0.534,103.017,241396,4,EXO,2016-06-09,Cloud 9,cloud-9
187,0.696,0.844,5,0.181,0.0348,0.0,0.0882,0.761,91.982,225823,4,EXO,2016-06-09,Heaven,heaven
188,0.375,0.845,2,0.26,0.0792,0.0,0.166,0.75,209.456,212084,4,EXO,2016-06-09,White Noise,white-noise
189,0.531,0.708,8,0.0335,0.062,0.0,0.0925,0.451,77.016,229056,4,EXO,2016-06-09,One and Only,one-and-only
190,0.611,0.796,10,0.0758,0.174,0.0,0.314,0.485,129.896,213788,4,EXO,2016-06-09,They Never Know,they-never-know
191,0.469,0.315,8,0.0349,0.81,0.0,0.114,0.358,102.157,219977,4,EXO,2016-06-09,Stronger,stronger
192,0.846,0.6,1,0.0655,0.0634,0.822,0.0889,0.605,121.017,227319,4,EXO,2016-06-09,Lucky One - Instrumental,lucky-one-instrumental
193,0.625,0.669,10,0.0363,0.00013,0.909,0.107,0.196,75.001,220957,4,EXO,2016-06-09,Monster - Instrumental,monster-instrumental
194,0.715,0.787,1,0.0858,0.16,0.0,0.0877,0.776,121.058,227486,4,EXO,2016-06-09,Lucky One - Chinese Version,lucky-one-chinese-version
195,0.616,0.778,10,0.0795,0.00868,0.0,0.116,0.466,149.965,221341,4,EXO,2016-06-09,Monster - Chinese Version,monster-chinese-version
196,0.659,0.791,6,0.285,0.00928,0.0,0.0759,0.767,114.051,245773,4,EXO,2016-06-09,Artificial Love - Chinese Version,artificial-love-chinese-version
197,0.801,0.717,7,0.119,0.189,0.0,0.33,0.52,102.976,241396,4,EXO,2016-06-09,Cloud 9 - Chinese Version,cloud-9-chinese-version
198,0.66,0.863,5,0.233,0.0402,0.0,0.0825,0.763,91.947,225823,4,EXO,2016-06-09,Heaven - Chinese Version,heaven-chinese-version
199,0.691,0.834,9,0.132,0.0836,0.0,0.179,0.784,104.794,212084,4,EXO,2016-06-09,White Noise - Chinese Version,white-noise-chinese-version
